Feature,Score
TCP_WIN_MAX_IN,9512129.591152899
TCP_FLAGS,2188936.3632535255
CLIENT_TCP_FLAGS,2038696.6425176885
PROTOCOL,1257237.14123607
L7_PROTO,978277.4874213078
DNS_QUERY_ID,808993.4478987535
MAX_IP_PKT_LEN,575413.7945648747
LONGEST_FLOW_PKT,575413.7945648747
NUM_PKTS_512_TO_1024_BYTES,501022.85912287177
MIN_TTL,453854.9455293746
MAX_TTL,449734.6363879613
SRC_TO_DST_SECOND_BYTES,381854.79272970714
DST_TO_SRC_SECOND_BYTES,363318.45265821967
NUM_PKTS_256_TO_512_BYTES,299379.08480857743
SHORTEST_FLOW_PKT,273638.4969639246
FLOW_END_MILLISECONDS,267061.8910312749
FLOW_START_MILLISECONDS,267044.0834488684
NUM_PKTS_128_TO_256_BYTES,221629.53135935287
L4_SRC_PORT,186878.815808615
DST_TO_SRC_IAT_MAX,167395.2819224174
