Feature,Score
TCP_WIN_MAX_IN,3215401.444218339
TCP_FLAGS,1140717.7244966237
CLIENT_TCP_FLAGS,1084976.1000819497
DNS_QUERY_ID,372618.15980863525
L7_PROTO,113050.9471392939
DST_TO_SRC_IAT_MAX,108736.3930916015
DURATION_OUT,88375.52018161674
MIN_TTL,86783.94971821112
MAX_TTL,86158.57758229169
PROTOCOL,69157.0876384298
DST_TO_SRC_IAT_STDDEV,68333.01357488666
FLOW_START_MILLISECONDS,56454.59709104413
FLOW_END_MILLISECONDS,56452.481732225984
L4_DST_PORT,50939.207107798655
FLOW_DURATION_MILLISECONDS,39251.41549790716
DURATION_IN,38690.35832782101
ICMP_TYPE,33491.60738583393
ICMP_IPV4_TYPE,33491.56521816338
DST_TO_SRC_SECOND_BYTES,31372.71034116553
DST_TO_SRC_IAT_AVG,30189.727323137115
