Feature,Dispersion
OUT_BYTES,13198220.249418173
IN_BYTES,4412300.464648508
DST_TO_SRC_AVG_THROUGHPUT,1860504.190112559
SRC_TO_DST_AVG_THROUGHPUT,752225.0915931816
RETRANSMITTED_OUT_BYTES,412475.020956932
FLOW_START_MILLISECONDS,140084.2419695918
FLOW_END_MILLISECONDS,140083.9391955405
IN_PKTS,89336.03446942999
DURATION_OUT,86078.57319764359
DURATION_IN,83196.22240207836
FLOW_DURATION_MILLISECONDS,82771.0850534628
NUM_PKTS_UP_TO_128_BYTES,80222.41013827958
ICMP_TYPE,43941.21659665918
DST_TO_SRC_IAT_MAX,39922.08296240184
DST_TO_SRC_IAT_MIN,39685.849838092196
SRC_TO_DST_IAT_MAX,38048.65183982816
DNS_TTL_ANSWER,37576.135652392666
TCP_WIN_MAX_IN,32966.30826135731
TCP_WIN_MAX_OUT,32107.16673830942
DNS_QUERY_ID,31438.19297397146
