Feature,Score
FLOW_START_MILLISECONDS,377685556.7790621
FLOW_END_MILLISECONDS,377685483.9359696
DST_TO_SRC_AVG_THROUGHPUT,445325.21727928973
SRC_TO_DST_AVG_THROUGHPUT,266747.0068530043
IPV4_SRC_ADDR,27882.730965460425
TCP_WIN_MAX_OUT,20511.58223037596
FLOW_DURATION_MILLISECONDS,19743.43898416244
DURATION_IN,19688.21506038971
DURATION_OUT,18959.377955487224
DNS_QUERY_ID,16192.814954737416
TCP_WIN_MAX_IN,11719.387828905374
L4_SRC_PORT,9741.196302859169
OUT_BYTES,8914.486463873682
SRC_TO_DST_IAT_MAX,7101.530478530519
DST_TO_SRC_IAT_MAX,6522.589695152941
ICMP_TYPE,5881.975657237102
L4_DST_PORT,3633.853181633264
SRC_TO_DST_IAT_STDDEV,2556.528604433631
IPV4_DST_ADDR,2370.2954537589735
IN_BYTES,2341.5075549876933
