Feature,Pearson_Correlation
TCP_WIN_MAX_IN,0.5727248154404208
TCP_FLAGS,0.3177803970693774
CLIENT_TCP_FLAGS,0.30774936210731274
PROTOCOL,0.24618370996388245
L7_PROTO,0.21863598758562366
DNS_QUERY_ID,0.19964883395664337
MAX_IP_PKT_LEN,0.1693549789090532
LONGEST_FLOW_PKT,0.1693549789090532
NUM_PKTS_512_TO_1024_BYTES,0.1583227322081684
MIN_TTL,0.15086415749492774
MAX_TTL,0.15019330589707636
SRC_TO_DST_SECOND_BYTES,0.13863156493869944
DST_TO_SRC_SECOND_BYTES,0.13528804125432636
NUM_PKTS_256_TO_512_BYTES,0.12300619481574947
SHORTEST_FLOW_PKT,0.11767590016058989
FLOW_END_MILLISECONDS,0.11627223569989298
FLOW_START_MILLISECONDS,0.11626835453117365
NUM_PKTS_128_TO_256_BYTES,0.10604373533045726
L4_SRC_PORT,0.09746180614222798
DST_TO_SRC_IAT_MAX,0.09228713800504787
