Feature,Score
PROTOCOL,1.0000000000000004
DNS_QUERY_TYPE,1.0000000000000004
L4_DST_PORT,1.0000000000000004
RETRANSMITTED_IN_PKTS,1.0000000000000002
OUT_PKTS,1.0000000000000002
DNS_TTL_ANSWER,1.0000000000000002
SRC_TO_DST_IAT_MIN,1.0000000000000002
IN_PKTS,1.0000000000000002
L7_PROTO,1.0000000000000002
DST_TO_SRC_IAT_MAX,1.0
SRC_TO_DST_IAT_STDDEV,1.0
SRC_TO_DST_IAT_AVG,1.0
SRC_TO_DST_IAT_MAX,1.0
DST_TO_SRC_IAT_AVG,1.0
TCP_WIN_MAX_OUT,1.0
NUM_PKTS_1024_TO_1514_BYTES,1.0
NUM_PKTS_256_TO_512_BYTES,1.0
NUM_PKTS_128_TO_256_BYTES,1.0
NUM_PKTS_UP_TO_128_BYTES,1.0
DST_TO_SRC_AVG_THROUGHPUT,1.0
