Feature,Score
TCP_WIN_MAX_IN,18548517.247566905
TCP_WIN_MAX_OUT,13100894.401578112
MIN_TTL,12611219.294518447
MAX_TTL,12499633.8883734
L4_DST_PORT,10580954.016702745
FLOW_END_MILLISECONDS,7300970.165115213
FLOW_START_MILLISECONDS,7300292.260675222
MIN_IP_PKT_LEN,6658036.184596984
SERVER_TCP_FLAGS,6069434.005038254
L4_SRC_PORT,5400658.783202581
CLIENT_TCP_FLAGS,3427516.9754720437
MAX_IP_PKT_LEN,3256499.2678417196
LONGEST_FLOW_PKT,3256499.2678417196
TCP_FLAGS,1852795.91069698
SHORTEST_FLOW_PKT,785323.5350283177
DST_TO_SRC_SECOND_BYTES,457046.9209358108
DST_TO_SRC_AVG_THROUGHPUT,455919.2206225324
SRC_TO_DST_SECOND_BYTES,434786.4939008755
DST_TO_SRC_IAT_STDDEV,412634.88584486465
DST_TO_SRC_IAT_MAX,382181.85231948196
