Feature,Score
TCP_WIN_MAX_OUT,4360176.268457809
L4_DST_PORT,3342518.2852405123
TCP_WIN_MAX_IN,2914635.1420467314
SERVER_TCP_FLAGS,1738411.190616274
MIN_TTL,1711314.594463395
MAX_TTL,1701289.773248746
FLOW_END_MILLISECONDS,1024039.0205273947
FLOW_START_MILLISECONDS,1024038.8258803699
L4_SRC_PORT,927648.0904124419
MAX_IP_PKT_LEN,626902.7828053532
LONGEST_FLOW_PKT,626902.7828053532
MIN_IP_PKT_LEN,178073.1316667759
CLIENT_TCP_FLAGS,123685.01205123076
DNS_QUERY_ID,116057.18587086373
TCP_FLAGS,58729.91404151959
SHORTEST_FLOW_PKT,26972.702560786936
SRC_TO_DST_SECOND_BYTES,17747.870790048342
DST_TO_SRC_IAT_MAX,15988.579959260733
FTP_COMMAND_RET_CODE,14991.855837765814
DST_TO_SRC_IAT_STDDEV,13562.65714860183
