Feature,Importance
L4_DST_PORT,0.6467944296966889
FLOW_START_MILLISECONDS,0.19765184495175545
SHORTEST_FLOW_PKT,0.045041956225622876
FLOW_END_MILLISECONDS,0.022454213131245862
IPV4_SRC_ADDR,0.018939621406821452
CLIENT_TCP_FLAGS,0.014161953635796996
TCP_WIN_MAX_IN,0.01132381752588271
NUM_PKTS_UP_TO_128_BYTES,0.010409474517334824
MIN_TTL,0.007610638695299243
IPV4_DST_ADDR,0.0059156907045705715
LONGEST_FLOW_PKT,0.004367086744964786
ICMP_TYPE,0.003884665357604029
L7_PROTO,0.0034340227931915213
IN_BYTES,0.0027776686552482346
TCP_FLAGS,0.0015330629466520636
DST_TO_SRC_SECOND_BYTES,0.0010307801335875746
DST_TO_SRC_AVG_THROUGHPUT,0.0009251504414101171
L4_SRC_PORT,0.0008532867900905831
TCP_WIN_MAX_OUT,0.00026150036324101264
MAX_TTL,0.00013766163884565048
