Feature,Dispersion
RETRANSMITTED_IN_BYTES,5206054.951133136
DST_TO_SRC_AVG_THROUGHPUT,3846800.9474426964
IN_BYTES,3409714.4166992404
RETRANSMITTED_OUT_BYTES,2680731.441475466
OUT_BYTES,2036380.0288903038
SRC_TO_DST_AVG_THROUGHPUT,1399705.58864159
DNS_TTL_ANSWER,563206.7966383164
NUM_PKTS_UP_TO_128_BYTES,198349.0041926685
IN_PKTS,98699.97949739528
OUT_PKTS,72003.62379981851
DNS_QUERY_ID,40454.6150801433
TCP_WIN_MAX_OUT,32927.70713796282
ICMP_TYPE,31667.358277347415
L4_DST_PORT,29224.528947357183
DURATION_IN,21117.168583653714
FLOW_DURATION_MILLISECONDS,18683.885350266995
TCP_WIN_MAX_IN,17729.01860861169
L4_SRC_PORT,13621.789881253526
FLOW_END_MILLISECONDS,9587.51799238902
FLOW_START_MILLISECONDS,9587.495836591415
