Feature,Score
FLOW_END_MILLISECONDS,105385613.16168869
FLOW_START_MILLISECONDS,105385515.17879009
SRC_TO_DST_AVG_THROUGHPUT,383053.2165829393
DST_TO_SRC_AVG_THROUGHPUT,311711.614133596
L4_DST_PORT,19253.638827449657
L4_SRC_PORT,18446.805053874858
TCP_WIN_MAX_OUT,14574.021241317872
TCP_WIN_MAX_IN,12026.157615294485
DNS_QUERY_ID,5980.238151940201
DNS_TTL_ANSWER,4618.634429296534
ICMP_TYPE,727.7396870258693
IN_BYTES,646.3666552875088
OUT_BYTES,593.3533171760436
NUM_PKTS_UP_TO_128_BYTES,350.9395690469288
LONGEST_FLOW_PKT,289.32022390678145
MAX_IP_PKT_LEN,289.32022390678145
FLOW_DURATION_MILLISECONDS,279.86861060717837
DURATION_IN,250.0481945312888
SRC_TO_DST_IAT_MAX,148.3143647112522
DURATION_OUT,142.9044441544513
