Feature,Pearson_Correlation
TCP_WIN_MAX_IN,0.647418366029315
TCP_WIN_MAX_OUT,0.5810406847341205
MIN_TTL,0.5737097033145009
MAX_TTL,0.5719994634274917
L4_DST_PORT,0.5400057706594744
FLOW_END_MILLISECONDS,0.47035045551371946
FLOW_START_MILLISECONDS,0.47035040039838677
MIN_IP_PKT_LEN,0.45358046726994994
SERVER_TCP_FLAGS,0.4370601317677319
L4_SRC_PORT,0.4166868586148651
CLIENT_TCP_FLAGS,0.34301045300975547
MAX_IP_PKT_LEN,0.3353293467106099
LONGEST_FLOW_PKT,0.3353293467106099
TCP_FLAGS,0.2592975888526991
SHORTEST_FLOW_PKT,0.1721820525462256
DST_TO_SRC_SECOND_BYTES,0.13217576404707268
DST_TO_SRC_AVG_THROUGHPUT,0.13201544594636896
SRC_TO_DST_SECOND_BYTES,0.1289716649945946
DST_TO_SRC_IAT_STDDEV,0.1256965495696865
DST_TO_SRC_IAT_MAX,0.12103995805355959
