Feature,Score
MAX_TTL,9588929.703761581
MIN_TTL,9575021.91194041
MIN_IP_PKT_LEN,768346.9635312977
IPV4_SRC_ADDR,601504.0070665183
DST_TO_SRC_IAT_AVG,134536.11211193132
IPV4_DST_ADDR,111339.70366237414
FLOW_END_MILLISECONDS,65609.06797923181
FLOW_START_MILLISECONDS,65608.98816707141
DST_TO_SRC_IAT_STDDEV,61487.7841518995
SRC_TO_DST_SECOND_BYTES,54958.50271552766
SHORTEST_FLOW_PKT,52104.97337857069
DST_TO_SRC_AVG_THROUGHPUT,50745.89045509705
SERVER_TCP_FLAGS,50553.1457945872
SRC_TO_DST_IAT_STDDEV,36515.540303417
DST_TO_SRC_SECOND_BYTES,33670.73910788804
NUM_PKTS_UP_TO_128_BYTES,32154.97811118837
L4_DST_PORT,32123.852134376324
TCP_FLAGS,27631.01994277222
CLIENT_TCP_FLAGS,25000.451311211895
MAX_IP_PKT_LEN,24644.907927558415
