Feature,Score
MIN_TTL,360206.03988766845
MAX_TTL,352483.48409741704
FLOW_END_MILLISECONDS,29602.039994011182
FLOW_START_MILLISECONDS,29600.63956846946
L4_DST_PORT,14647.272034772326
DST_TO_SRC_AVG_THROUGHPUT,14414.817907251812
SERVER_TCP_FLAGS,10001.581162935185
LONGEST_FLOW_PKT,9107.57636300268
MAX_IP_PKT_LEN,9107.57636300268
IPV4_DST_ADDR,7430.281232988945
SRC_TO_DST_SECOND_BYTES,5728.648359946673
IPV4_SRC_ADDR,5507.161602338916
TCP_FLAGS,5449.730931755424
CLIENT_TCP_FLAGS,4932.932349746468
DNS_QUERY_ID,3235.87754154705
FTP_COMMAND_RET_CODE,2608.7883193854627
MIN_IP_PKT_LEN,2236.2330296700893
TCP_WIN_MAX_IN,2109.795113598002
SHORTEST_FLOW_PKT,1648.9208262305372
DST_TO_SRC_IAT_AVG,1492.9902912908842
