Feature,Importance
MAX_TTL,0.9922603962230077
IPV4_SRC_ADDR,0.0063801596454074044
MAX_IP_PKT_LEN,0.0010185921865126782
L4_SRC_PORT,0.00018178474603352762
SHORTEST_FLOW_PKT,5.804696384778376e-05
PROTOCOL,3.578627016036908e-05
IPV4_DST_ADDR,2.395448400602686e-05
IN_BYTES,1.6556758525056583e-05
LONGEST_FLOW_PKT,1.502344616391582e-05
NUM_PKTS_256_TO_512_BYTES,6.625708342092538e-06
DNS_TTL_ANSWER,3.073567993600457e-06
TCP_WIN_MAX_IN,0.0
TCP_WIN_MAX_OUT,0.0
NUM_PKTS_1024_TO_1514_BYTES,0.0
ICMP_TYPE,0.0
ICMP_IPV4_TYPE,0.0
NUM_PKTS_128_TO_256_BYTES,0.0
NUM_PKTS_512_TO_1024_BYTES,0.0
FLOW_START_MILLISECONDS,0.0
DNS_QUERY_ID,0.0
