Feature,Dispersion
DNS_TTL_ANSWER,2819906018.2774034
DST_TO_SRC_AVG_THROUGHPUT,6828389.391023884
SRC_TO_DST_AVG_THROUGHPUT,3624028.5123261693
IN_BYTES,1039199.4890669461
FLOW_END_MILLISECONDS,921169.4907871498
FLOW_START_MILLISECONDS,921169.4509564433
RETRANSMITTED_IN_BYTES,724307.5476333372
OUT_BYTES,700594.6369143357
RETRANSMITTED_OUT_BYTES,356435.57533362403
DNS_QUERY_ID,38305.50836974936
L4_DST_PORT,30289.856164039775
DURATION_IN,21392.36654006852
FLOW_DURATION_MILLISECONDS,21146.702774630656
ICMP_TYPE,16644.734275627838
TCP_WIN_MAX_IN,16259.412985472181
L4_SRC_PORT,11177.764910984513
SRC_TO_DST_IAT_MIN,11169.23213584607
TCP_WIN_MAX_OUT,9590.370381728062
DURATION_OUT,7264.6581996624345
DNS_QUERY_TYPE,4564.832392502977
