Feature,Score
FLOW_END_MILLISECONDS,1144114643.7517793
FLOW_START_MILLISECONDS,1144114618.4490256
DST_TO_SRC_AVG_THROUGHPUT,3063525.559192822
SRC_TO_DST_AVG_THROUGHPUT,874762.5092434055
OUT_BYTES,50883.70840879524
DNS_TTL_ANSWER,48759.59854568193
RETRANSMITTED_OUT_BYTES,25364.012821465556
L4_SRC_PORT,16595.201294491493
ICMP_TYPE,15640.293112406667
L4_DST_PORT,14517.817465199769
TCP_WIN_MAX_IN,12719.490715121821
DNS_QUERY_ID,8441.436466628005
TCP_WIN_MAX_OUT,7370.395271582627
IN_BYTES,5043.85240272938
RETRANSMITTED_IN_BYTES,2145.39832181579
FLOW_DURATION_MILLISECONDS,801.8572156964328
DURATION_IN,796.327675353936
DURATION_OUT,675.3724901094554
LONGEST_FLOW_PKT,591.1076951494039
MAX_IP_PKT_LEN,591.1076951494039
