Feature,Pearson_Correlation
MAX_TTL,0.8961719159065231
MIN_TTL,0.8960438070485828
MIN_IP_PKT_LEN,0.4963342068813901
IPV4_SRC_ADDR,0.4513910256584626
DST_TO_SRC_IAT_AVG,0.23267179202774987
IPV4_DST_ADDR,0.2126599497891958
FLOW_END_MILLISECONDS,0.16478363600720342
FLOW_START_MILLISECONDS,0.1647835361850664
DST_TO_SRC_IAT_STDDEV,0.15966040864620248
SHORTEST_FLOW_PKT,0.14726133486805382
DST_TO_SRC_AVG_THROUGHPUT,0.14536921512083495
SERVER_TCP_FLAGS,0.14509870277130232
SRC_TO_DST_IAT_STDDEV,0.12368057872777738
NUM_PKTS_UP_TO_128_BYTES,0.11616726869861446
L4_DST_PORT,0.11611178858900932
SRC_TO_DST_SECOND_BYTES,0.1148540167675062
TCP_FLAGS,0.10778809570293285
CLIENT_TCP_FLAGS,0.10258564300191612
MAX_IP_PKT_LEN,0.10186119390369439
LONGEST_FLOW_PKT,0.10186119390369439
