Feature,Score
RETRANSMITTED_OUT_BYTES,1.0000000000000004
PROTOCOL,1.0000000000000004
NUM_PKTS_128_TO_256_BYTES,1.0000000000000004
IN_PKTS,1.0000000000000004
OUT_BYTES,1.0000000000000002
DST_TO_SRC_IAT_MIN,1.0000000000000002
SHORTEST_FLOW_PKT,1.0000000000000002
ICMP_IPV4_TYPE,1.0
NUM_PKTS_UP_TO_128_BYTES,1.0
NUM_PKTS_256_TO_512_BYTES,1.0
NUM_PKTS_512_TO_1024_BYTES,1.0
NUM_PKTS_1024_TO_1514_BYTES,1.0
TCP_WIN_MAX_IN,1.0
ICMP_TYPE,1.0
DNS_TTL_ANSWER,1.0
DNS_QUERY_TYPE,1.0
L4_DST_PORT,1.0
FTP_COMMAND_RET_CODE,1.0
SRC_TO_DST_IAT_MAX,1.0
SRC_TO_DST_IAT_AVG,1.0
