Dataset,Method,Accuracy,Precision,Recall,F1,Time
UNSW,Chi,0.9995417048579285,1.0,0.999083409715857,0.9995414947271893,0.0273
UNSW,Disp,0.9340054995417049,0.8909991742361685,0.9890009165902841,0.9374456993918332,0.4584
UNSW,Pearson,0.9995417048579285,1.0,0.999083409715857,0.9995414947271893,0.0294
UNSW,Fisher,0.999083409715857,0.999083409715857,0.999083409715857,0.999083409715857,0.0273
UNSW,MAD,0.9385884509624198,0.899749373433584,0.9871677360219981,0.9414335664335665,0.3987
UNSW,ANOVA,0.9995417048579285,1.0,0.999083409715857,0.9995414947271893,0.0296
UNSW,InformationGain,0.9995417048579285,1.0,0.999083409715857,0.9995414947271893,0.0238
UNSW,Threshold,0.9307974335472043,0.9875518672199171,0.8725939505041247,0.9265206812652068,0.2354
CICIDS,Chi,0.966659054578671,0.975780158360503,0.9570580173595249,0.9663284132841329,0.5148
CICIDS,Disp,0.9522722082667275,0.9852941176470589,0.918227501142074,0.9505793331756917,0.793
CICIDS,Pearson,0.9760219228134277,0.9882849109653233,0.9634536317953404,0.9757113115891742,0.5609
CICIDS,Fisher,0.9760219228134277,0.9882849109653233,0.9634536317953404,0.9757113115891742,0.5607
CICIDS,MAD,0.9547841973053208,0.9896704377766847,0.9191411603471905,0.9531027948839412,0.7585
CICIDS,ANOVA,0.9760219228134277,0.9882849109653233,0.9634536317953404,0.9757113115891742,0.5625
CICIDS,InformationGain,0.9735099337748344,0.992867332382311,0.9538602101416171,0.972972972972973,0.4229
CICIDS,Threshold,0.9678008677780315,0.9803001876172608,0.9547738693467337,0.9673686646609582,0.6421
TON,Chi,0.9054086977707394,0.9191435768261965,0.8890242416859544,0.9038330546783082,15.4885
TON,Disp,0.8752588622243879,0.899494229023473,0.8449263004019978,0.871356783919598,18.7454
TON,Pearson,0.9078450481179193,0.9272588055130169,0.8851260811304665,0.905702711124961,15.0855
TON,Fisher,0.9078450481179193,0.9272588055130169,0.8851260811304665,0.905702711124961,14.977
TON,MAD,0.8768424899500549,0.9040094031605067,0.8432208551589718,0.8725576704903567,17.3411
TON,ANOVA,0.9078450481179193,0.9272588055130169,0.8851260811304665,0.905702711124961,15.1808
TON,InformationGain,0.9085150444633938,0.9291106845809342,0.8845169935436715,0.9062656015976036,15.2519
TON,Threshold,0.9021196248020465,0.9393132818738356,0.8597880375197954,0.8977930420403231,18.817
