Dataset,Method,Accuracy,Precision,Recall,F1,Time
UNSW,Chi,0.9986251145737856,0.9990825688073395,0.998166819431714,0.9986244841815681,0.0505
UNSW,Disp,0.9912923923006416,0.9917431192660551,0.9908340971585701,0.9912883998165979,0.1428
UNSW,BE,0.8634280476626948,0.7965594614809275,0.9761686526122824,0.8772652388797364,0.3168
UNSW,RF,0.8909257561869844,0.8253241800152555,0.9917506874427131,0.9009159034138218,0.1949
CICIDS,Chi,0.966659054578671,0.9762237762237762,0.9566011877569667,0.9663128749423165,0.4251
CICIDS,Disp,0.9269239552409226,0.9207564160288159,0.9342165372316126,0.927437641723356,0.9798
CICIDS,BE,0.9575245489837863,0.9803357314148681,0.9337597076290544,0.956481048198409,0.5738
CICIDS,RF,0.9518154829869834,0.9660697455230914,0.9365006852444039,0.9510554395731848,0.5736
TON,Chi,0.9114995736386893,0.9059120403749099,0.9183822633694725,0.9121045308813744,10.4561
TON,Disp,0.8700816177366305,0.8880940214614206,0.8468753806797418,0.8669950738916257,25.65
TON,BE,0.9045559751492265,0.8999277456647399,0.9103423072237787,0.905105068733725,19.4591
TON,RF,0.8837251796808381,0.8889849345517412,0.8769643074674138,0.8829337094499294,15.337
